Comment,Designator,Footprint,LCSC
"Buzzer","BZ1","Buzzer_Beeper:Buzzer_12x9.5RM7.6","C96222"
"100nF","C2,C3","Capacitor_SMD:C_0805_2012Metric","C49678"
"10uF","C4","Capacitor_SMD:C_0805_2012Metric","C15850"
"22uF","C5,C6","Capacitor_SMD:C_1206_3216Metric","C12891"
"Red","D5","LED_SMD:LED_0805_2012Metric","C84256"
"Blue","D6","LED_SMD:LED_0805_2012Metric","C34499"
"SS54","D7","Diode_SMD:D_SMA","C22452"
"SS34","D8","Diode_SMD:D_SMA","C8678"
"DW01A-G","IC1","Package_TO_SOT_SMD:SOT-23-6","C61503"
"TYPE-C-31-M-17","J1","project_library:TYPEC31M17","C283540"
"Conn_01x04_Male","J3","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","C2905435"
"TP4056","J5","project_library:SOP127P600X175-9N","C16581"
"Jumper_2_Bridged","JP1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C234182"
"22uH","L1","project_library:SLO0630H","C207843"
"2N7002","Q1","Package_TO_SOT_SMD:SOT-23","C8545"
"SI2301CDS-T1-GE3","Q2","Package_TO_SOT_SMD:SOT-23","C10487"
"FS8205","Q3","Package_TO_SOT_SMD:SOT-23-6","C908265"
"AO3401A","Q4","Package_TO_SOT_SMD:SOT-23","C15127"
"100k","R1,R3,R4,R17","Resistor_SMD:R_0805_2012Metric","C149504"
"10k","R11","Resistor_SMD:R_0805_2012Metric","C17414"
"1,2k","R12","Resistor_SMD:R_0805_2012Metric","C17379"
"100","R16","Resistor_SMD:R_0805_2012Metric","C17408"
"2,2k","R18","Resistor_SMD:R_0805_2012Metric","C17520 "
"1M","R2","Resistor_SMD:R_0805_2012Metric","C17514"
"5,1k","R5,R6,R10","Resistor_SMD:R_0805_2012Metric","C27834"
"1k","R7,R8,R13,R14,R15","Resistor_SMD:R_0805_2012Metric","C17513"
"4,7k","R9","Resistor_SMD:R_0805_2012Metric","C17673"
"100k","RV1","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","C118963"
"SW_Push","SW1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C234182"
"SW_SPST","SW2","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","C234182"
"NRF24L01_Breakout","U1","project_library:nRF24L01_LNA_Module","C239344"
"MT3608","U4","Package_TO_SOT_SMD:SOT-23-6","C84817"